id,firstname,surname,date_of_birth,date_of_death,place_of_birth,place_of_death,place_of_birth_original_name,place_of_death_original_name,remark,sex,pseudonym_for_id
26,Vojtěch Mikuláš Vejskrab,Bělohrobský,1839-04-21,1869-07-30,Černovice (u Tábora),Blovice,,,,M,
28,Václav Čeněk,Bendl,1832-10-24,1870-06-27,Turnov,Volyně,,,Celé jméno = Václav Čeněk Bendl Stranický,M,
29,Božena,Benešová,1873-11-30,1936-04-08,Nový Jičín,Praha,,,,F,
30,Ruda,Beran,,,,,,,,M,
31,Kamil,Berdych,1885-11-18,1914-05-03,Nýřany,Praha-Vinohrady,,Královské Vinohrady,,M,
32,Karel,Berdych,,,,,,,,M,
33,Fr. R.,Bergmann,,,,,,,"Jedná se o Bergmann, František in DČLO? (26.06.1877 Praha - 27.09.1941 Praha)",M,
34,Dominik,Beznaděj,,,,,,,,M,
35,Petr,Bezruč,1867-09-15,1958-02-17,Opava,Olomouc,,,,M,
36,Vilém,Bitnar,1874-04-11,1948-10-12,Hronov-Zbečník,Praha,Zbečník,,,M,
37,Inocenc Arnošt,Bláha,1879-07-28,1960-04-25,Krasoňov (u Humpolce),Brno,,,,M,
38,Josef,Bláha,,1831-01-19,Nové Dvory-Hlízov (u Kutné Hory),Uhřiněves,Hlízov (u Kutné Hory),,Datum narození: asi 1754,M,
39,Josef V.,Blanický,,,,,,,"Jedná se o Tesař, Václav in DČLO? (12.09.1870 Bavorov-Blanice - 10.04.1911 Újezd)",M,
40,Lev,Blatný,1894-04-11,1930-06-21,Brno,Poprad-Kvetnica,,Kvetnica,,M,
41,Fr.XX de. P.XX,Blažka,,,,,,,,M,
42,A.XX,Bloem,,,,,,,,M,
44,Adolf,Bogner,1875-10-21,1947-11-03,Valašské Meziříčí-Krásno nad Bečvou,Valašské Meziříčí,Krásno nad Bečvou,,,M,
45,Jindřich,Böhm,,,,,,,,M,
46,Miroslav Bedřich,Böhnel,1886-07-03,1962-09-23,Brno,Praha,,,,M,
47,J. D.,Boholubský,,,,,,,,M,
48,R.,Bojko,1877-03-31,1952-12-22,Bedřichov (u Kunštátu na Moravě),Napajedla,,,,M,
49,Jaromír,Borecký,1869-08-06,1951-05-08,České Budějovice,Praha,,,,M,
50,Jaroslav,Borotínský,1875-07-13,1947-02-05,Praha,Praha,,,Jaroslav Zyka Borotínský in Lexikon,M,
52,František,Ruth,1854-02-12,1926-03-16,Zbraslavice (u Kutné Hory),Praha,,,,M,
53,Rudolf,Bort,1863-11-15,1926-12-31,Praha,Praha,,,,M,
54,Josef,Boubela,1853-06-09,1928-05-30,Vsetín,Brno,,,In DČLO,M,
55,Sigismund,Bouška,1867-08-25,1942-08-29,Příbram,Náchod,,,,M,
56,Adolf,Brabec,1875-05-03,1928-10-26,Mšec (u Slaného),Protivín,,,,M,
57,Julius,Brabec,,,,,,,,M,
58,Alfons,Breska,1873-07-13,1946-09-26,Kladno,Praha,,,,M,
59,Jan,Šrámek,1820-05-21,1884-07-31,Křtětice (u Vodňan),"Turtno (u Petrohradu, Rusko)",,,,M,
60,Otokar,Březina,1868-09-13,1929-03-25,Počátky (u Pelhřimova),Jaroměřice nad Rokytnou,,,,M,
61,V.XX,Bříza,1875-09-22,1972-07-22,Horní Bříza (u Plzně),Praha,,,Vl.jm. = Václav Krofta; in DČLO,M,
63,Richard,Broj,1893-02-23,1954-04-11,Praha,Praha,,,,M,
64,Jiří,Budovec,1874-03-13,1948-04-07,Mnichovo Hradiště,Praha,,,Vl.jm. = Jiří (Václav) Klíma; in DČLO,M,
66,František H.XX,Bukovec,1876-12-18,1927-08-14,Police,Opava-Jaktař,,Jaktař,Vl.jm. = František Hrubý; in DČLO,M,
67,Antonín,Bulant,1862-10-24,1926-07-03,Křesín (u Libochovic),Praha,,,,M,
68,Antonín,Bulla,,,,,,,,M,
69,Josef,Burgerstein,1813-06-28,1873-01-12,Plzeň,Vídeň (Rakousko),,,,M,
70,Josef,Durdík,1837-10-15,1902-06-30,Hořice (u Jičína),Praha-Smíchov,,Smíchov,,M,
71,Františka,Pichlová,1811-03-09,1882-03-18,Praha,Praha,,,,F,
72,František,Cajthaml-Liberté,1868-03-30,1936-05-03,Suchomasty (u Berouna),Bystřany (u Teplic),,,,M,
73,Marie,Calma,1881-09-08,1966-04-07,Unhošť (u Kladna),Praha,,,,M,
75,Antonín,Čapek,1847-09-03,,Sobotka,?,,,Datum úmrtí: 1899; in DČLO,M,
76,Josef,Čapek,1887-03-23,,Hronov,Bergen-Belsen (koncentrační tábor),,,Datum úmrtí: mezi 5. a 24.04.1945,M,
77,Karel,Čapek,1890-01-09,1938-12-25,Malé Svatoňovice (u Trutnova),Praha,,,,M,
78,František,Čech,,,,,,,Je třeba ověřit o jakého Františka Čecha se jedná (?),M,
79,Svatopluk,Čech,1846-02-21,1908-02-23,Ostředek (u Benešova),Praha-Troja,,Troja,,M,
80,František Ladislav,Čelakovský,1799-03-07,1852-08-05,Strakonice,Praha,,,,M,
81,Jaromír,Čelakovský,1846-03-21,1914-10-16,Vratislav,Praha,,,In DČLO,M,
82,Ladislav,Čelakovský,1834-11-29,1902-11-24,Praha,Praha,,,,M,
83,Stanislav,Cemper,,,,,,,"Jedná se o Cemper, Stáňa Maria = vl.jm. Josef Cemper in DČLO? (26.06.1884 Praha - 12.07.1903 Praha)",M,
85,Emanuel,Čenkov,1868-04-14,1940-06-24,Praha,Praha,,,,M,
86,Bohuslav,Čermák,1846-10-31,1899-02-09,Pacov,Praha,,,,M,
87,Boleslav L.,Černý,1881-07-11,1930-05-12,Hradec Králové,Stráž-Pelechy (u Domažlic),,Pelechy (u Domažlic),,M,
89,Jan,Červenka,1861-04-03,1908-01-24,Praha,Praha,,,,M,
90,Adolf,Červinka,1875-06-04,1936-04-17,Albrechtice nad Orlicí,Praha,,,,M,
91,Karel,Červinka,1872-05-19,1949-03-05,Albrechtice nad Orlicí,Břehy (u Přelouče),,,,M,
92,Miloš,Červinka,1852-10-30,1891-04-28,Ostředek (u Benešova),"Mariensee (u Aspangu, Rakousko)",,,,M,
93,Otakar,Červinka,1846-09-25,1915-04-28,Ostředek (u Benešova),Beroun,,,,M,
94,,Ceyp z,1835-12-08,1879-08-23,Horní Bradlo-Lipka (u Chrudimi),Praha,Lipka (u Chrudimi),,Celé jméno = Jan Bohumil Ceyp z Peclinovce,M,
95,František,Chalupa,1857-12-30,1890-01-01,Kralice (u Kutné Hory),Praha,Velké Králice (u Kutné Hory),,,M,
96,František,Chládek,1829-08-23,1861-09-20,Hředle (u Rakovníka),Senomaty (u Rakovníka),,,,M,
97,Adam,Chlumecký,1854-01-07,1938-06-23,Rokytnici (u Přerova),Olomouc,Roketnice (u Přerova),,,M,
98,Josef Krasoslav,Chmelenský,1800-08-07,1839-01-02,Bavorov,Praha,,,,M,
99,Béda,Chocholoušek,1887-04-12,1907-07-06,Praha,Praha-Vinohrady,,Královské Vinohrady,Vl.jm. = Pavel Tusar; in DČLO,M,
100,R.XX,Chřada,,,,,,,,M,
101,František,Chrám,,,,,,,Viz ř. 102,M,
102,František,Chramosta,1868-07-09,1947-01-02,Zhoř,Zhoř,Zhořec,Zhořec,In DČLO,M,
103,Jan Květoslav,Chrastecký,1826-05-04,1909-09-11,Chrast,Hradec Králové,,,In DČLO,M,
104,Martin,Chudoba,1874-10-06,1948-08-24,Smržice,Palonín,,,In DČLO,M,
105,Josef Slavomír,Čipera,1850-03-17,1911-06-09,Rakovník,Plzeň,,,In DČLO,M,
107,Václav Antonín,Crha,1836-09-27,1905-09-08,Kopidlno,Třebechovice pod Orebem,,,,M,
108,Arnošt,Czechenherzu,1878-08-23,1951-12-26,Praha,Praha,,,Celé jméno = Arnošt Czech z Czechenherzu (došlo k rozdělení na dva řádky..),M,
109,,Czech z,,,,,,,Viz ř. 109,M,
110,Václav,Daněk,,,,,,,,M,
112,Karel,Dewetter,1882-10-02,1962-09-12,Dobřejovice (u Prahy),Praha,,,,M,
114,František,Dohnal,1876-07-31,1956-07-28,Čelčice (u Prostějova),Prostějov,,,,M,
115,Gustav,Dörfl,1855-06-24,1902-06-18,Praha,Praha,,,,M,
116,Adolf Bohuslav,Dostal,1873-12-30,,Praha-Veleslavín,Polsko,Veleslavín,,Datum úmrtí: září 1939,M,
117,Karel,Dostál Lutinov,1871-09-22,1923-11-29,Prostějov,Prostějov,,,,M,
118,Karel,Dostál-Lutinov,,,,,,,Viz ř. 118,M,
120,František Karel,Drahoňovský,1812-06-12,1881-02-10,Mírová pod Kozákovem-Bělá (u Turnova),Brandýs nad Labem,Bělá (u Turnova),,,M,
122,František,Drtina,1861-10-03,1925-01-14,Hněvšín,Praha,,,In DČLO,M,
123,Tereza,Dubrovská,1878-02-13,1951-11-08,Ostrava,Nová Ves u Chotěboře,Polská Ostrava,,,F,
124,Jan,Dunovský,1849-07-27,1925-11-11,Bavorov,Praha,,,,M,
125,Josef,Dürich,1847-08-19,1927-01-12,Jivina-Borovice (u Mnichova Hradiště),Klášter Hradiště nad Jizerou,Borovice (u Mnichova Hradiště),,,M,
126,Jaroslav,Durych,1886-12-02,1962-04-07,Hradec Králové,Praha,,,,M,
127,Albína,Dvořáková-Mráčková,1850-01-30,1893-05-23,Rovná-Řepice (u Strakonic),Praha,Řepice (u Strakonic),,,F,
128,Xaver,Dvořák,1858-11-29,1939-11-22,Praha-Hostivař,Praha,Hostivař,,,M,
129,Josef,Dvorský,,,,,,,,M,
130,Viktor,Dyk,1877-12-31,1931-05-14,Mělník-Pšovka,Lopud (Jugoslávie),Pšovka,,,M,
131,Josef,Dyrhon,,1944-12-05,?,Brandýs nad Labem,,,Datum úmrtí: 1866; in DČLO,M,
132,František,Eisler,1878-11-18,1913-11-16,Krásná Hora,Dobřany,,,In DČLO,M,
133,Karel,Engelmüller,1872-06-14,1950-03-30,Praha,Praha,,,,M,
134,Karel Jaromír,Erben,1811-11-07,1870-11-21,Miletín (u Jičína),Praha,,,,M,
135,Petr,Fingal,1889-06-13,1940-08-05,Radnice (u Plzně),Praha,,,,M,
136,Otokar,Fischer,1883-05-20,1938-03-12,Kolín,Praha,,,,M,
137,Josef,Flekáček,1857-02-02,1906-09-19,Uhlířské Janovice,Praha-Žižkov,,Žižkov,,M,
138,Josef,Florian,1873-02-09,1941-12-29,Stará Říše (u Telče),Stará Říše (u Telče),,,,M,
140,Josef Otakar,Forchheim,1843-10-27,1907-02-05,Praha,Příbram,,,In DČLO,M,
141,Bohumil,Forman,1857-04-13,1921-04-22,Praha,Praha,,,,M,
142,Josef Václav,Frič,1829-09-05,1890-10-14,Praha,Praha,,,,M,
143,Karel,Frič,,,,,,,,M,
144,Vladimír,Frída,1885-09-12,1949-05-17,Praha,Praha,,,,M,
145,Lubomír,Fryč,,,,,,,,M,
146,Milan,Fučík,1876-10-03,1934-03-12,Praha,Praha,,,,M,
147,Vincenc,Furch,1817-08-08,1864-01-05,Krasonice (u Telče),Vídeň (Rakousko),,,,M,
148,Alois,Gallat,1827-06-08,1901-09-07,Nový Bydžov,Chrudim,,,,M,
149,Irma,Geisslová,1855-07-06,1914-05-27,Budapešť (Maďarsko),Jičín,,,,F,
150,František,Gellner,1881-06-19,,Mladá Boleslav,?,,,Datum a místo úmrtí: asi září 1914 válečná fronta Halič,M,
151,Jaroslav,Goll,1846-07-11,1929-07-08,Chlumec nad Cidlinou,Praha,,,,M,
152,Jan,Gros,1833-10-16,1894-12-02,Železný Brod,Blovice,,,,M,
153,Hynek,Grunert,1848-03-06,1885-06-08,Praha,Vídeň (Rakousko),,,,M,
154,Beneš,Grünwald,1867-10-07,1931-06-03,Praha,Praha,,,,M,
155,Fred,Grygar,,,,,,,Zjistit jedná-li se o Schüllera Václava nebo Zdeňka Gintla? In ČEK,M,
157,Jaroslav,Haasz,1860-09-08,1939-01-29,Praha-Vyšehrad,Praha,Vyšehrad,,,M,
158,Alois Věkoslav,Haber,1869-07-09,1908-01-07,Praha,Teplice-Trnovany,,Trnovany,,M,
159,František,Hais,1818-07-07,1899-07-04,Praha,Praha,,,,M,
160,Karel Boromejský,Hájek,1867-01-19,1930-01-25,Praha,Praha,,,,M,
161,František,Hajniš,1815-03-31,1885-12-27,Vamberk,Praha,,,,M,
162,Vítězslav,Hálek,1835-04-05,1874-10-08,Odolena Voda-Dolínek,Praha,Dolinek,,,M,
165,Jan,Halouzka,1856-07-13,1918-07-31,Těšetice,Mistřín,,,In DČLO,M,
166,Václav,Hanka,1791-06-10,1861-01-12,Hořiněves (u Hradce Králové),Praha,,,,M,
167,Stanislav,Hanuš,1885-11-10,1943-09-12,Praha,Praha,,,,M,
168,Josef,Hásek,1856-12-23,1879-05-23,Vysoké nad Jizerou,Praha-Smíchov,,Smíchov,In DČLO,M,
169,Roman,Hašek,1883-05-07,1919-05-13,Praha,Praha,,,,M,
170,Josef,Haser,1869-02-15,1947-03-05,Písek,Protivín,,,In DČLO,M,
171,Emanuel,Hauner,1875-12-24,1943-06-14,Praha,Praha,,,,M,
172,Matěj,Havelka,1809-05-05,1892-06-19,Jičíněves-Žitetín (u Kopidlna),Praha,Žitetín (u Kopidlna),,,M,
174,Bohumil,Havlasa,1852-10-01,1877-11-25,Bavorov (u Vodňan),Alexandropol (Arménie),,,,M,
175,Karel,Havlíček Borovský,1821-10-31,1856-07-29,Havlíčkova Borová (u Přibyslavi),Praha,Borová (u Přibyslavi),,,M,
176,Jaroslav,Havlíček,1881-06-11,1960-04-01,Praha,Tábor,,,,M,
177,Albert Jaroslav,Havránek,1879-02-12,1929-01-05,Praha,Chicago-Oak Forest (USA),,Oak Forest (USA),,M,
178,Method,Hedrlín,,,,,,,Viz ř. 530,M,
179,Jan,Hejčl,1868-05-15,1935-02-05,Žamberk,Olomouc,,,In DČLO,M,
180,František Vladislav,Hek,1769-04-11,1847-09-04,Dobruška,Letohrad,,Kyšperk,,M,
181,Jaroslav,Hendrych,1875-03-18,1955-03-22,Praha,Praha,,,,M,
182,Jan,Herben,1857-05-07,1936-12-24,Brumovice (u Hustopečí),Praha,,,,M,
183,Jaroslav,Herda,1859-03-26,1881-03-23,Třeboň,Mšec (u Slaného),,,,M,
184,František,Herites,1851-02-27,1929-01-19,Vodňany,Praha,,,,M,
185,Gustav,Heš,1848-03-02,1917-07-31,Falknov nad Ohří,Praha-Vinohrady,Sokolov,Královské Vinohrady,In DČLO,M,
186,Václav,Hes,1850-06-01,1890-01-04,Soběslav,Praha-Smíchov,,Smíchov,,M,
187,Adolf,Heyduk,1835-06-06,1923-02-06,Předhradí (u Hlinska),Písek,Rychmburk (u Hlinska),,,M,
188,Karel Hugo,Hilar,1885-11-05,1935-03-06,Sudoměřic (u Bechyně),Praha,,,,M,
189,Václav,Hladík,1868-08-22,1913-04-29,Praha,Praha,,,,M,
190,Karel,Hlaváček,1874-08-29,1898-06-15,Praha-Libeň,Praha-Libeň,Libeň,Libeň,,M,
191,Václav,Hlaváček,1891-05-16,1946-12-23,Praha,Praha,,,,M,
192,Šebestián,Hněvkovský,1770-03-19,1847-06-07,Žebrák,Praha,,,,M,
193,Josef,Hofer,1871-11-19,1947-03-08,Snovídky,Luhačovice,,,In DČLO,M,
194,Antonie,Hoffmannová,,,,,,,,F,
195,Vlastislav,Hofman,,,,,,,,M,
196,Rudolf Richard,Hofmeister,1868-05-17,1934-10-06,Rožmitál pod Třemšínem,Rožmitál pod Třemšínem,,,,M,
197,Emil,Holárek,,,,,,,,M,
198,Čeněk,Holas,1855-02-10,1939-02-08,Zahořany,Písek,,,Vl.jm. = Holas Vincenc; in DČLO,M,
199,František,Holeček,1871-07-15,1947-10-31,Vlkonice (u Horažďovic),Praha,,,,M,
200,František S.,Holeček,1865-04-26,1929-06-03,Praha,Praha,,,,M,
201,Josef,Holeček,1853-02-27,1929-03-06,Stožice (u Vodňan),Praha,,,,M,
202,Jindřich S.XX,Holý,,,,,,,,M,
203,Josef,Holý,1874-02-07,1928-02-06,Košík-Tuchom (u Jičína),Brno,Tuchom (u Jičína),,,M,
204,Karel,Horký,1879-04-25,1965-03-02,Ronov nad Doubravou (u Čáslavi),Praha,,,,M,
205,Vladimír,Hornov,1870-05-10,1942-07-26,Holice (u Pardubic),Praha,,,,M,
206,Otakar,Hostinský,1847-01-02,1910-01-19,Martiněves (u Roudnice),Praha,,,,M,
207,Vladimír,Houdek,1869-10-21,1908-08-28,Praha,Praha,,,,M,
208,František,Hrachovský,1879-09-11,1943-01-18,Kněždub,Osvětim (koncentrační tábor),,,In DČLO jako František Norbert Hrachovský?,M,
209,Jasa,Hradecká,,,,,,,,F,
210,Josef,Hradecký,1886-02-07,1947-07-05,Kostelní Radouň (u Jindřichova Hradce),Praha,,,Viz Josef R. Hradecký in Lexikon,M,
212,Bohdana,Hrdličková,,,,,,,,F,
213,Emanuel J.XX,Hrubý,1865-05-21,1947-12-23,Občov,Chlumec nad Cidlinou,,,In DČLO,M,
214,Jaromír,Hrubý,1852-10-23,1916-02-03,Kardašova Řečice,Praha,,,,M,
215,Josef Vlastimil,Hrubý,1852-02-15,1921-03-08,Horní Libochová (u Velkého Meziříčí),Brno,,,,M,
216,Antonín,Hrůza,1869-04-28,1939-02-06,Telč,Praha,,,,M,
217,Josef,Hubáček,1850-11-19,1900-03-05,Chotěboř,Praha,,,In DČLO,M,
218,Jan,Hudec,1856-10-06,1940-04-27,Vysočany-Molenburk (u Blanska),Praha,Molenburk (u Blanska),,,M,
219,,H. Uden,1847-10-05,1930-06-09,Solnice (u Rychnova nad Kněžnou),Kladno,,,Uden H. in Lexikon,M,
220,Jan Ev.,Hulakovský,1834-12-27,1899-10-06,Havlíčkův Brod,Praha-Smíchov,Německý Brod,Smíchov,,M,
221,Filip,Hyšman,1851-01-06,1922-08-05,Strakonice,Nové Strašecí,,,,M,
222,Rudolf,Illový,1881-12-20,1943-01-16,Zásmuky (u Kolína),Terezín (koncentrační tábor),,,,M,
223,Boleslav,Jablonský,1813-01-14,1881-02-27,Kardašova Řečice,"Zwierzyniec (u Krakova, Polsko)",,,,M,
224,Jiljí Vratislav,Jahn,1838-01-22,1902-05-18,Pardubice,Praha,,,,M,
225,Josef,Jakubec,1858-08-03,1889-06-09,Hlásná Lhota (u Jičína),Jičín,,,,M,
226,Josef,Thomayer,1853-03-23,1927-10-18,Trhanov,Praha,,,,M,
227,Bohumil,Janda,1831-05-01,1875-09-29,Pátek (u Poděbrad),Poděbrady,,,Pravděpodobně viz Bohumil Janda Cidlinský in Lexikon,M,
228,Jaroslav Vladimír,Janovický,1877-07-17,1965-08-26,Červené Janovice,Praha,,,Vl.jm. = Rudolf Schuster; in DČLO,M,
229,Josef,Vévoda,1864-11-01,1927-04-17,Rychtářov,Brno,,,In DČLO,M,
230,V.,Jednota,,,,,,,,M,
231,Bohdan,Jelínek,1851-06-21,1874-05-19,Choltice (u Heřmanova Městce),Choltice (u Heřmanova Městce),,,,M,
232,Hanuš,Jelínek,1878-09-03,1944-04-27,Příbram,Praha,,,,M,
233,Vladimír,Jelovšek,,,,,,,,M,
234,Růžena B.XX,Jeřábková,,,,,,,,F,
235,Růžena,Jesenská,1863-06-17,1940-07-14,Praha-Smíchov,Praha,Smíchov,,,F,
236,Jan,Ježek,1849-10-20,1913-11-18,Chvalkovice (u České Skalice),Praha,,,,M,
237,Josef,Ježek,1848-02-02,1885-05-19,Lomnice nad Popelkou (u Jičína),Libochovice,Stará Lomnice (u Jičína),,,M,
238,J. B.,Jilovecký,,,,,,,Viz ř. 23,M,
239,Alois,Jirásek,1851-08-23,1930-03-12,Hronov,Praha,,,,M,
240,Vojtěch H.,Jirota,1851-02-05,1872-07-22,Blovice (u Plzně),Blovice (u Plzně),,,Celé jméno = Vojtěch Heinrich Jirota,M,
241,Alois J.,Jizerský,,,,,,,Viz ř. 240,M,
243,J.,Jonas,,,,,,,,M,
244,Karel,Jonáš,1865-01-16,1922-05-02,Heřmanův Městec,Praha,,,,M,
247,Josef,Jungmann,1773-07-16,1847-11-14,Hudlice (u Berouna),Praha,,,,M,
248,Václav Alois,Jung,1858-08-08,1927-12-03,Rychnov nad Kněžnou-Městská Habrová,Praha,Městská Habrová,,,M,
249,Eduard,Just,1836-03-20,1879-02-10,Jaroměř-Josefov,Praha,Josefov,,,M,
250,Josef,Kálal,1849-10-25,1881-06-17,Písecká Smoleč (u Písku),Netolice,Smoleč (u Písku),,,M,
251,Josef Jaroslav,Kalina,1816-11-09,1847-06-22,Nový Bor (u České Lípy),Praha,Haida (u České Lípy),,,M,
252,Josef,Kalus,1855-02-16,1934-12-11,Frenštát pod Radhoštěm,Frenštát pod Radhoštěm,,,,M,
253,Josef Vlastimil,Kamarýt,1797-01-21,1833-03-19,Velešín (u Českého Krumlova),Tábor,,,,M,
255,Karel,Kamínek,1868-11-03,1915-06-24,Praha,Praha,,,,M,
256,Bohdan,Kaminský,1859-02-24,1929-07-13,Čtveřín-Sychrov (u Turnova),Poděbrady,Štveřín (u Turnova),,,M,
257,Siegfried,Kapper,1820-03-21,1879-06-07,Praha-Smíchov,Pisa (Itálie),Smíchov,,,M,
258,Jan,Karafiát,1846-01-04,1929-01-31,Jimramov,Praha,,,,M,
260,Jiří,Karásek ze Lvovic,1871-01-24,1951-03-05,Praha-Smíchov,Praha,Smíchov,,,M,
261,Josef František,Karas,1876-12-04,1931-02-19,Tišnov,Dluhonice (u Přerova),,,,M,
262,Bohumila,Karbanová,,,,,,,,F,
263,A.XX,Karlík,,,,,,,,M,
264,František,Karlínský,,,,,,,,M,
266,Jiří,Karmín,,1945-07-23,?,Brno,,,Vl.jm. = Otakar Zamrazil; datum úmrtí: 1880; in DČLO,M,
267,Leo,Karmín,1873-03-10,1952-04-22,Kutná Hora-Perštejnec,Praha,Perštejnice,,Vl.jm. = Antonín Pánek; in DČLO,M,
268,Jan,Karník,1870-08-16,1958-12-27,Nové Město na Moravě,Nové Město na Moravě,,,,M,
269,František,Kašpar,1879-01-05,1959-06-10,Čížová-Borečnice (u Písku),Hrusice (u Prahy),Bořečnice,,,M,
270,Marie,Kavanová,,,,,,,Jedná se o Marii Kavánovou (in DČLO)?,F,
271,,K. Egor,,,,,,,Viz ř. 514,M,
272,Hugo,Kepka,1889-06-22,1912-02-10,Klatovy,Turnov,,,,M,
273,František Matouš,Klácel,1808-04-07,1882-03-17,Česká Třebová,"Belle Plaine (Iowa, USA)",,,,M,
274,Antonín,Klášterský,1866-09-25,1938-10-03,Mirovice (u Prahy),Praha,,,,M,
275,Josef Václav,Klečák,,,,,,,,M,
276,Václav Kliment,Klicpera,1792-11-23,1859-09-15,Chlumec nad Cidlinou,Praha,,,,M,
277,Gustav,Klika,,1920-07-08,Rožmitál pod Třemšínem,Rožmitál pod Třemšínem,,,Datum úmrtí: 1884; in DČLO,M,
278,Jaroslav,Klofáč,,,,,,,"Jedná se o Klofáč, Václav Jaroslav in DČLO?",M,
279,Antonín,Klose,,,,,,,Viz ř. 281,M,
280,Antonín Jaroslav,Klose,1861-11-24,1906-09-21,Zbiroh,Praha,,,,M,
281,Josef,Klvaňa,,1919-08-13,Vídeň (Rakousko),Kyjov,,,Datum narození: 22.01.1857 nebo 21.01.1857 nebo 12.01.1857; in DČLO,M,
282,Fanča,Knauerova,,,,,,,,M,
283,Zdeněk,Knittl,1889-12-29,1955-09-21,Praha,Praha,,,In DČLO,M,
284,Bohuslav,Knoesl,1873-02-13,1958-10-09,Praha,Praha,,,,M,
285,Antonín,Knotek,,,,,,,,M,
286,Josef,Kodíček,1892-06-05,1954-02-04,Praha,Mnichov (Německo),,,,M,
287,František,Kohout,,,,,,,Zjistit o jakého Františka Kohouta se jedná (?) in DČLO,M,
288,August Bedřich,Kokoška,,,,,,,,M,
289,Bedřich,Kokoška,,,,,,,,M,
290,František,Kolář,,,,,,,Zjistit o jakého Františka Koláře se jedná (?) in DČLO,M,
291,Josef,Kolář,1830-03-15,1910-04-23,Ostroměř-Sylvárův Újezd (u Hořic),Praha,Sylvárův Újezd (u Hořic),,,M,
292,Josef Jiří,Kolár,1812-02-09,1896-01-31,Praha,Praha,,,,M,
293,Jan,Kollár,1793-07-29,1852-01-24,Mošovce (u Martina),Vídeň (Rakousko),,,,M,
294,Jaroslav,Kolman Cassius,1883-12-30,1951-06-04,Hlušice (u Nového Bydžova),Praha,Velké Hlušice (u Nového Bydžova),,,M,
295,Julius Alois,Koráb,1874-07-02,1940-01-07,Rychnov nad Kněžnou,České Budějovice,,,,M,
296,Jan,Korec,1856-12-27,1913-07-16,Protivanov (u Boskovic),Urbanov (u Telče),,,,M,
297,Jan Daniel,Korvín,1869-06-23,1905-10-13,Kladno,Praha,,,,M,
298,Jaroslav,Kosina,1862-04-26,1928-02-15,Hradec Králové,Praha,,,In DČLO,M,
299,Josef,Košín,1832-09-14,1911-11-10,Libenice (u Kolína),Praha,,,Celé jméno = Josef Košín z Radostova,M,
300,Alois,Kotrbelec,1849-09-29,1918-02-07,Tábor,Tábor,,,In DČLO,M,
301,Karel Th.,Kotrouš,,,,,,,,M,
302,Jan Pravoslav,Koubek,1805-06-04,1854-12-28,Blatná,Blatná,,,,M,
303,Vojtěch,Koudelka,,,,,,,,M,
304,Antonín,Koukl,1860-05-01,1884-02-26,Praha,Praha,,,,M,
305,Jaroslav,Kozánek,,1872-12-20,Kroměříž,Praha,,,Datum narození: 1852; in DČLO,M,
306,Miroslav,Krajník,1850-01-01,1907-07-03,Humpolec,Praha,,,,M,
307,Josef,Krapka-Náchodský,1862-07-22,1909-04-13,Pavlišov (u Náchoda),Prostějov,,,,M,
